institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2018 Endowment,School Website
Abilene Christian University,regional-universities-west,ACU,TX,Abilene,79699,west,True,private,#12,12,True,21,66,57,36300,3.6,2.5,,3544,2.1,1040,27650.0,1040-1230,21-27,"Private, Coed",1906,Churches of Christ,Semester,City,$431.9 million +,http://www.acu.edu
Abraham Baldwin Agricultural College,regional-colleges-south,,GA,Tifton,31793,south,True,public,#65-#84,-1,False,17,,70,,,,,,,920,,920-1110,17-22,"Public, Coed",1908,None,Semester,Rural,N/A,http://www.abac.edu/
Academy of Art University,regional-universities-west,,CA,San Francisco,94105,west,True,proprietary,Unranked,-2,False,,,100,29190,,,,7051,,,,N/A,N/A,"Proprietary, Coed",1929,None,Semester,Urban,N/A,http://www.academyart.edu/
Acadia University,unranked,,,"Wolfville, Nova Scotia",,,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.acadiau.ca
Adams State University,regional-universities-west,,CO,Alamosa,81102,west,True,public,#87-#113,-1,False,17,,99,,,,,,,880,,880-1080,17-22,Public,N/A,None,N/A,N/A,N/A,http://www.adams.edu
Adelphi University,national-universities,,NY,Garden City,11530,,True,private,#166,166,True,22,65,74,38660,3.5,,,5391,2.2,1080,42300.0,1080-1270,22-27,"Private, Coed",1896,None,Semester,Suburban,$188.6 million,http://www.adelphi.edu
Adrian College,regional-colleges-midwest,,MI,Adrian,49221,midwest,True,private,#18,18,True,19,84,65,37809,3.2,,,1817,,940,27162.0,940-1150,19-26,"Private, Coed",1859,United Methodist,Semester,City,N/A,http://www.adrian.edu
Adventist University of Health Sciences,health,,FL,Orlando,32803,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.fhchs.edu/
Agnes Scott College,national-liberal-arts-colleges,,GA,Decatur,30030,,True,private,#58,58,True,23,77,70,42690,3.8,,,996,,1090,24389.0,1090-1320,23-29,"Private, Women's college",1889,Presbyterian Church (USA),Semester,Urban,$229.4 million +,http://www.agnesscott.edu
Alabama Agricultural and Mechanical University,regional-universities-south,Alabama A&M Alabama A & M,AL,Normal,35762,south,True,public,#96-#122,-1,False,16,,90,18354,3,2.0,,5143,,725,,725-980,16-19,"Public, Coed",1875,None,Semester,Urban,N/A,http://www.aamu.edu/admissions/undergraduateadmissions/pages/default.aspx
Alabama State University,regional-universities-south,,AL,Montgomery,36101,south,True,public,#87,87,True,16,,98,19396,3,,,3903,,860,,860-1030,16-20,"Public, Coed",1867,None,Semester,Urban,$100.9 million +,http://www.alasu.edu
Alaska Pacific University,regional-universities-west,,AK,Anchorage,99508,west,True,private,#82,82,True,,,86,,,,,,,,,N/A,N/A,"Private, Coed",1957,None,Semester,City,N/A,http://www.alaskapacific.edu
Albany College of Pharmacy and Health Sciences,health,,NY,Albany,12208,,True,private,Unranked,-2,False,23,,79,35261,,,,,,1110,,1110-1270,23-28,"Private, Coed",1881,None,Semester,City,N/A,http://www.acphs.edu/
Albany State University,regional-universities-south,,GA,Albany,31705,south,True,public,#96-#122,-1,False,15,,89,20352,2.8,,,6001,,750,,750-900,15-18,"Public, Coed",1903,None,Semester,City,$2.3 million +,https://www.asurams.edu/
Albertus Magnus College,regional-universities-north,,CT,New Haven,06511,north,True,private,#66,66,True,,73,86,33260,3,,,1116,,810,42386.0,810-1050,N/A,"Private, Coed",1925,Roman Catholic,Semester,Suburban,$8.7 million,http://www.albertus.edu
Albion College,national-liberal-arts-colleges,,MI,Albion,49224,,True,private,#140,140,True,20,,68,48090,3.7,,,1533,,1010,,1010-1240,20-26,"Private, Coed",1835,United Methodist,Semester,Suburban,$174.3 million +,http://www.albion.edu/
Albright College,national-liberal-arts-colleges,,PA,Reading,19612,,True,private,#164-#215,-1,False,20,,62,25642,3.1,,,1912,,1023,,1023-1200,20-24,"Private, Coed",1856,United Methodist,4-1-4,Suburban,$69.3 million +,https://www.albright.edu/
Alcorn State University,regional-universities-south,,MS,Lorman,39096,south,True,public,#82,82,True,17,,89,7320,3.7,,,3173,,820,,820-1140,17-22,"Public, Coed",1871,None,Semester,Rural,$18.7 million +,http://www.alcorn.edu
Alderson Broaddus University,regional-colleges-south,Alderson Broaddus Alderson Broaddus College,WV,Philippi,26416,south,True,private,#39,39,True,18,78,43,29220,3.2,,,836,,920,20478.0,920-1100,18-22,"Private, Coed",1871, American Baptist,Semester,Rural,$17.9 million,http://www.ab.edu
Alfred University,regional-universities-north,,NY,Alfred,14802,north,True,private,#38,38,True,20,82,63,34770,3.1,2.0,,1671,2.0,970,26170.0,970-1200,20-27,"Private, Coed",1836,None,Semester,Rural,$129.3 million +,http://www.alfred.edu
Alice Lloyd College,regional-colleges-south,,KY,Pippa Passes,41844,south,True,private,#21,21,False,18,87,8,12230,3.5,,,592,,910,15830.0,910-1050,18-23,"Private, Coed",1923,None,Semester,Rural,$43.3 million +,http://www.alc.edu
Allegheny College,national-liberal-arts-colleges,,PA,Meadville,16335,,True,private,#82,82,True,24,78,64,49260,3.5,,,1771,,1120,26908.0,1120-1340,24-30,"Private, Coed",1815,United Methodist,Semester,Suburban,$220.8 million +,https://allegheny.edu
Allen College,health,,IA,Waterloo,50703,,True,private,Unranked,-2,False,,,,,,,,341,,,,N/A,N/A,"Private, Coed",1880,Church of Brethren,Semester,Rural,$93.1 million +,http://www.bridgewater.edu
Allen University,national-liberal-arts-colleges,,SC,Columbia,29204,,True,private,#164-#215,-1,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1870,None,Semester,City,N/A,http://www.allenuniversity.edu
Alliant International University,national-universities,,CA,San Diego,92131,,True,private,Unranked,-2,False,,,97,18510,,,,721,,,,N/A,N/A,"Private, Coed",1969,None,Semester,Suburban,N/A,http://www.alliant.edu
Alma College,regional-colleges-midwest,,MI,Alma,48801,midwest,True,private,#8,8,False,20,84,64,41398,3.6,,,1433,,1040,24941.0,1040-1220,20-27,"Public, Coed",1901,None,Quarter,Suburban,$220.6 million,http://www.calpoly.edu/
Alpena Community College,regional-colleges-midwest,,MI,Alpena,49707,midwest,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,https://www.lakemichigancollege.edu
Alvernia University,regional-universities-north,,PA,Reading,19607,north,True,private,#94,94,True,17,,68,35100,3.3,,,2196,,950,,950-1130,17-23,"Private, Coed",1958,Roman Catholic,Semester,Suburban,$26.9 million +,https://www.alvernia.edu/
Alverno College,regional-universities-midwest,,WI,Milwaukee,53234,midwest,True,private,#53,53,True,17,84,67,29456,3.1,,,1219,,,24799.0,N/A,17-21,"Private, Women's college",1887,Roman Catholic,Semester,Urban,$30.0 million,http://www.alverno.edu
Amberton University,regional-universities-west,,TX,Garland,75041,west,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1981,Other,4 10-week,Suburban,N/A,http://www.amberton.edu
American Academy of Art,specialty-arts,,IL,Chicago,60604,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.aaart.edu
American College of Education,special-focus,,IN,Indianapolis,,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,
American College of Financial Services,specialty-business,,PA,Bryn Mawr,19010,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.pqc.edu
American College of Thessaloniki,unranked,,,,,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1886,None,Trimester,Suburban,N/A,//www.act.edu
