institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Abilene Christian University,national-universities,ACU,TX,Abilene,79699,,True,private,,#320,320,True,20,,66,42380,3.5,2.2,,3189,2.1,1030,,1030-1250,20-27
Abraham Baldwin Agricultural College,regional-colleges-south,,GA,Tifton,31793,south,True,public,,#57,57,True,16,,75,10071,,,,3814,,940,,940-1130,16-22
Academy of Art University,regional-universities-west,,CA,San Francisco,94105,west,True,proprietary,,#105-115,-1,False,,,,32460,,,,5363,,,,N/A,N/A
Adams State University,regional-universities-west,,CO,Alamosa,81102,west,True,public,,#99,99,False,18,,100,21848,,,,1835,,920,,920-1140,18-23
Adelphi University,national-universities,,NY,Garden City,11530,,True,private,,#163,163,True,22,66,73,47290,3.7,,,5055,2.2,1110,38230.0,1110-1310,22-29
Adrian College,regional-colleges-midwest,,MI,Adrian,49221,midwest,True,private,,#29,29,True,17,,69,40556,3.2,,,1747,,940,,940-1160,17-25
AdventHealth University,health,,FL,Orlando,32803,,True,private,,Unranked,-2,False,,,90,20340,,,,1144,,,,N/A,N/A
Agnes Scott College,national-liberal-arts-colleges,,GA,Decatur,30030,,True,private,,#63,63,True,24,73,67,48150,3.8,,,1006,,1130,27124.0,1130-1350,24-31
Alabama A&M University,regional-universities-south,Alabama A&M Alabama A & M,AL,Normal,35762,south,True,public,,#98,98,True,15,,68,18634,,2.6,,5206,2.1,840,,840-1030,15-20
Alabama State University,national-universities,,AL,Montgomery,36101,,True,public,,#395-435,-1,False,16,,97,19396,3,,,3296,,820,,820-1040,16-20
Alaska Pacific University,regional-colleges-west,,AK,Anchorage,99508,west,True,private,,#28,28,False,,,96,20760,,,,376,,,,N/A,N/A
Albany College of Pharmacy and Health Sciences,health,,NY,Albany,12208,,True,private,,Unranked,-2,False,,,66,40075,3.7,,,584,,,,N/A,N/A
Albany State University,regional-universities-south,,GA,Albany,31705,south,True,public,,#100,100,True,14,,86,19902,2.8,,,5833,,810,,810-960,14-17
Albertus Magnus College,regional-universities-north,,CT,New Haven,06511,north,True,private,,#111,111,True,21,,80,39924,3.1,,,987,,880,,880-1070,21-24
Albion College,national-liberal-arts-colleges,,MI,Albion,49224,,True,private,,#124,124,True,,,67,55746,3.4,,,1454,,,,N/A,N/A
Albizu University,health,,PR,San Juan,00902,,True,private,,Unranked,-2,False,,,93,7665,,,,667,,,,N/A,N/A
Albizu University--Miami,national-universities,,FL,Miami,,,True,private,,Unranked,-2,False,,,100,13719,,,,179,,,,N/A,N/A
Albright College,national-liberal-arts-colleges,,PA,Reading,19612,,True,private,,#146,146,True,,,76,28794,,,,1298,,,,N/A,N/A
Alcorn State University,regional-universities-south,,MS,Lorman,39096,south,True,public,,#52,52,True,15,87,30,8549,3.3,,,2346,,903,19488.0,903-1115,15-24
